family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:203735	74	0	1	1	['ncbitaxon:203771']
ncbitaxon:55597	103	2	2	5	['ncbitaxon:1954348', 'ncbitaxon:68299', 'ncbitaxon:2653732', 'ncbitaxon:55598', 'ncbitaxon:1745183']
ncbitaxon:461575	12	0	1	3	['ncbitaxon:461579', 'ncbitaxon:461576', 'ncbitaxon:461580']
ncbitaxon:261628	116	6	0	1	['ncbitaxon:1439928']
ncbitaxon:89667	30	28	0	3	['ncbitaxon:1580173', 'ncbitaxon:197415', 'ncbitaxon:1729749']
ncbitaxon:13328	953	114	10	48	['ncbitaxon:282771', 'ncbitaxon:282740', 'ncbitaxon:282728', 'ncbitaxon:301867', 'ncbitaxon:282732', 'ncbitaxon:282750', 'ncbitaxon:282744', 'ncbitaxon:282718', 'ncbitaxon:282746', 'ncbitaxon:282717', 'ncbitaxon:359922', 'ncbitaxon:282730', 'ncbitaxon:1155244', 'ncbitaxon:282725', 'ncbitaxon:133233', 'ncbitaxon:282745', 'ncbitaxon:282764', 'ncbitaxon:282726', 'ncbitaxon:282721', 'ncbitaxon:282731', 'ncbitaxon:13329', 'ncbitaxon:282756', 'ncbitaxon:2029211', 'ncbitaxon:282763', 'ncbitaxon:282741', 'ncbitaxon:282760', 'ncbitaxon:282736', 'ncbitaxon:282727', 'ncbitaxon:282734', 'ncbitaxon:282739', 'ncbitaxon:282769', 'ncbitaxon:1095267', 'ncbitaxon:282720', 'ncbitaxon:282729', 'ncbitaxon:282714', 'ncbitaxon:1028379', 'ncbitaxon:282722', 'ncbitaxon:282770', 'ncbitaxon:282747', 'ncbitaxon:282738', 'ncbitaxon:282751', 'ncbitaxon:282754', 'ncbitaxon:282767', 'ncbitaxon:282719', 'ncbitaxon:282752', 'ncbitaxon:359926', 'ncbitaxon:282753', 'ncbitaxon:282723']
ncbitaxon:41467	7	0	1	1	['ncbitaxon:41468']
ncbitaxon:3257	169	27	8	12	['ncbitaxon:231680', 'ncbitaxon:232203', 'ncbitaxon:223814', 'ncbitaxon:231679', 'ncbitaxon:3258', 'ncbitaxon:231681', 'ncbitaxon:3260', 'ncbitaxon:113538', 'ncbitaxon:231677', 'ncbitaxon:3262', 'ncbitaxon:3259', 'ncbitaxon:195849']
ncbitaxon:46053	55	0	1	5	['ncbitaxon:475020', 'ncbitaxon:374708', 'ncbitaxon:290213', 'ncbitaxon:243709', 'ncbitaxon:374709']
ncbitaxon:630755	18	11	2	2	['ncbitaxon:100136', 'ncbitaxon:53821']
ncbitaxon:13749	396	44	5	20	['ncbitaxon:945837', 'ncbitaxon:190544', 'ncbitaxon:180765', 'ncbitaxon:472369', 'ncbitaxon:180772', 'ncbitaxon:13750', 'ncbitaxon:174251', 'ncbitaxon:516948', 'ncbitaxon:1493660', 'ncbitaxon:180766', 'ncbitaxon:69266', 'ncbitaxon:180760', 'ncbitaxon:180763', 'ncbitaxon:229201', 'ncbitaxon:180767', 'ncbitaxon:190534', 'ncbitaxon:190548', 'ncbitaxon:128905', 'ncbitaxon:276782', 'ncbitaxon:190542']
ncbitaxon:200485	84	23	2	7	['ncbitaxon:291322', 'ncbitaxon:291319', 'ncbitaxon:291312', 'ncbitaxon:291324', 'ncbitaxon:291309', 'ncbitaxon:291310', 'ncbitaxon:291311']
ncbitaxon:68863	95	24	1	1	['ncbitaxon:204382']
ncbitaxon:76510	2	0	0	1	['ncbitaxon:1735510']
ncbitaxon:197677	3	1	0	1	['ncbitaxon:59043']
ncbitaxon:191142	7	0	0	3	['ncbitaxon:191149', 'ncbitaxon:191152', 'ncbitaxon:191145']
ncbitaxon:191153	5	0	0	1	['ncbitaxon:191155']
ncbitaxon:25227	97	18	2	8	['ncbitaxon:591754', 'ncbitaxon:29798', 'ncbitaxon:43503', 'ncbitaxon:591742', 'ncbitaxon:58481', 'ncbitaxon:1231253', 'ncbitaxon:271243', 'ncbitaxon:591727']
ncbitaxon:47650	27	3	1	1	['ncbitaxon:47651']
ncbitaxon:142835	14	12	0	1	['ncbitaxon:142837']
ncbitaxon:215948	1	0	0	1	['ncbitaxon:90527']
ncbitaxon:45913	4	0	0	1	['ncbitaxon:764530']
ncbitaxon:27191	8	0	0	1	['ncbitaxon:28547']
ncbitaxon:41585	80	8	0	1	['ncbitaxon:1671336']
ncbitaxon:224846	120	4	0	3	['ncbitaxon:235716', 'ncbitaxon:287587', 'ncbitaxon:287586']
ncbitaxon:1745083	113	10	0	3	['ncbitaxon:2321295', 'ncbitaxon:1745084', 'ncbitaxon:1745086']
ncbitaxon:169209	4	0	1	2	['ncbitaxon:217685', 'ncbitaxon:169210']
ncbitaxon:174466	8	2	0	2	['ncbitaxon:196008', 'ncbitaxon:174467']
ncbitaxon:75954	10	0	0	2	['ncbitaxon:75961', 'ncbitaxon:75960']
ncbitaxon:349365	4	0	1	1	['ncbitaxon:349366']
ncbitaxon:46093	63	6	3	10	['ncbitaxon:114150', 'ncbitaxon:70358', 'ncbitaxon:2500085', 'ncbitaxon:293752', 'ncbitaxon:46094', 'ncbitaxon:227291', 'ncbitaxon:70371', 'ncbitaxon:293751', 'ncbitaxon:1072387', 'ncbitaxon:293754']
ncbitaxon:198778	2	0	0	1	['ncbitaxon:279240']
ncbitaxon:56922	104	1	0	3	['ncbitaxon:284511', 'ncbitaxon:280633', 'ncbitaxon:255945']
ncbitaxon:2321366	2	2	0	1	['ncbitaxon:2321367']
ncbitaxon:15376	3	1	0	2	['ncbitaxon:52148', 'ncbitaxon:389630']
ncbitaxon:41603	36	9	0	4	['ncbitaxon:1448043', 'ncbitaxon:1611546', 'ncbitaxon:128741', 'ncbitaxon:1611548']
ncbitaxon:52461	57	13	1	1	['ncbitaxon:52462']
ncbitaxon:41377	48	30	4	5	['ncbitaxon:1134458', 'ncbitaxon:41378', 'ncbitaxon:82927', 'ncbitaxon:381409', 'ncbitaxon:139224']
ncbitaxon:82022	15	8	0	1	['ncbitaxon:535968']
ncbitaxon:42206	9	1	0	1	['ncbitaxon:42207']
ncbitaxon:56064	205	83	1	1	['ncbitaxon:56065']
ncbitaxon:149641	11	0	0	1	['ncbitaxon:149642']
