family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:3593	794	77	11	109	['ncbitaxon:412453', 'ncbitaxon:183649', 'ncbitaxon:867544', 'ncbitaxon:867002', 'ncbitaxon:762169', 'ncbitaxon:130148', 'ncbitaxon:337189', 'ncbitaxon:866925', 'ncbitaxon:432494', 'ncbitaxon:336157', 'ncbitaxon:432508', 'ncbitaxon:762172', 'ncbitaxon:336116', 'ncbitaxon:2627081', 'ncbitaxon:2601721', 'ncbitaxon:336154', 'ncbitaxon:176271', 'ncbitaxon:176265', 'ncbitaxon:278545', 'ncbitaxon:130156', 'ncbitaxon:336131', 'ncbitaxon:1484561', 'ncbitaxon:1001097', 'ncbitaxon:1170790', 'ncbitaxon:1217480', 'ncbitaxon:762156', 'ncbitaxon:336156', 'ncbitaxon:308223', 'ncbitaxon:762158', 'ncbitaxon:867470', 'ncbitaxon:867484', 'ncbitaxon:1574108', 'ncbitaxon:867400', 'ncbitaxon:1149777', 'ncbitaxon:171976', 'ncbitaxon:547103', 'ncbitaxon:1170788', 'ncbitaxon:701516', 'ncbitaxon:182825', 'ncbitaxon:866980', 'ncbitaxon:307721', 'ncbitaxon:154436', 'ncbitaxon:153857', 'ncbitaxon:762165', 'ncbitaxon:983932', 'ncbitaxon:701514', 'ncbitaxon:866988', 'ncbitaxon:866975', 'ncbitaxon:130166', 'ncbitaxon:223066', 'ncbitaxon:213183', 'ncbitaxon:762187', 'ncbitaxon:176263', 'ncbitaxon:762127', 'ncbitaxon:762193', 'ncbitaxon:866983', 'ncbitaxon:130095', 'ncbitaxon:130137', 'ncbitaxon:946341', 'ncbitaxon:278530', 'ncbitaxon:336127', 'ncbitaxon:867004', 'ncbitaxon:866924', 'ncbitaxon:1789637', 'ncbitaxon:446152', 'ncbitaxon:130138', 'ncbitaxon:336147', 'ncbitaxon:762190', 'ncbitaxon:1195128', 'ncbitaxon:171973', 'ncbitaxon:154438', 'ncbitaxon:993096', 'ncbitaxon:130124', 'ncbitaxon:866931', 'ncbitaxon:432501', 'ncbitaxon:153873', 'ncbitaxon:307724', 'ncbitaxon:223074', 'ncbitaxon:336123', 'ncbitaxon:867529', 'ncbitaxon:866926', 'ncbitaxon:3597', 'ncbitaxon:867539', 'ncbitaxon:171969', 'ncbitaxon:722860', 'ncbitaxon:153875', 'ncbitaxon:371859', 'ncbitaxon:762117', 'ncbitaxon:336384', 'ncbitaxon:153861', 'ncbitaxon:154437', 'ncbitaxon:336161', 'ncbitaxon:3595', 'ncbitaxon:106982', 'ncbitaxon:176266', 'ncbitaxon:1574107', 'ncbitaxon:1826817', 'ncbitaxon:336153', 'ncbitaxon:223064', 'ncbitaxon:867469', 'ncbitaxon:246740', 'ncbitaxon:867530', 'ncbitaxon:246738', 'ncbitaxon:154435', 'ncbitaxon:336130', 'ncbitaxon:336162', 'ncbitaxon:1262546', 'ncbitaxon:867471', 'ncbitaxon:223054']
ncbitaxon:40338	47	18	0	3	['ncbitaxon:40340', 'ncbitaxon:304445', 'ncbitaxon:70144']
ncbitaxon:22299	8	0	0	1	['ncbitaxon:49863']
ncbitaxon:4449	216	87	5	7	['ncbitaxon:55477', 'ncbitaxon:1041030', 'ncbitaxon:55312', 'ncbitaxon:63789', 'ncbitaxon:4451', 'ncbitaxon:15008', 'ncbitaxon:15000']
ncbitaxon:24942	142	17	3	10	['ncbitaxon:1389779', 'ncbitaxon:4378', 'ncbitaxon:1815891', 'ncbitaxon:85285', 'ncbitaxon:1747698', 'ncbitaxon:1085409', 'ncbitaxon:1504171', 'ncbitaxon:640657', 'ncbitaxon:1489826', 'ncbitaxon:169244']
ncbitaxon:1003241	8	3	0	1	['ncbitaxon:48514']
ncbitaxon:39987	1027	279	16	53	['ncbitaxon:1472308', 'ncbitaxon:1477590', 'ncbitaxon:142746', 'ncbitaxon:69845', 'ncbitaxon:2294054', 'ncbitaxon:2203444', 'ncbitaxon:329675', 'ncbitaxon:1237769', 'ncbitaxon:1902363', 'ncbitaxon:142181', 'ncbitaxon:2708604', 'ncbitaxon:1872696', 'ncbitaxon:210372', 'ncbitaxon:66680', 'ncbitaxon:142184', 'ncbitaxon:223762', 'ncbitaxon:360599', 'ncbitaxon:2306772', 'ncbitaxon:1799574', 'ncbitaxon:224084', 'ncbitaxon:1472648', 'ncbitaxon:653935', 'ncbitaxon:223752', 'ncbitaxon:223760', 'ncbitaxon:885948', 'ncbitaxon:746315', 'ncbitaxon:746341', 'ncbitaxon:142738', 'ncbitaxon:2918710', 'ncbitaxon:358203', 'ncbitaxon:223753', 'ncbitaxon:1040645', 'ncbitaxon:223751', 'ncbitaxon:224035', 'ncbitaxon:2753873', 'ncbitaxon:546994', 'ncbitaxon:223763', 'ncbitaxon:155104', 'ncbitaxon:39989', 'ncbitaxon:586301', 'ncbitaxon:224034', 'ncbitaxon:746333', 'ncbitaxon:699060', 'ncbitaxon:360584', 'ncbitaxon:224054', 'ncbitaxon:82393', 'ncbitaxon:2516486', 'ncbitaxon:746342', 'ncbitaxon:224033', 'ncbitaxon:2715869', 'ncbitaxon:714517', 'ncbitaxon:2896602', 'ncbitaxon:223749']
ncbitaxon:4130	12	3	0	5	['ncbitaxon:1241278', 'ncbitaxon:4134', 'ncbitaxon:281499', 'ncbitaxon:79392', 'ncbitaxon:79382']
ncbitaxon:3216	119	1	1	2	['ncbitaxon:29583', 'ncbitaxon:3218']
ncbitaxon:29629	9	0	0	1	['ncbitaxon:328223']
ncbitaxon:324794	3	0	1	1	['ncbitaxon:324797']
ncbitaxon:255977	7	0	0	1	['ncbitaxon:449104']
ncbitaxon:3928	890	105	17	35	['ncbitaxon:236974', 'ncbitaxon:1526632', 'ncbitaxon:330155', 'ncbitaxon:1217223', 'ncbitaxon:122814', 'ncbitaxon:312566', 'ncbitaxon:141189', 'ncbitaxon:22666', 'ncbitaxon:363523', 'ncbitaxon:22663', 'ncbitaxon:312915', 'ncbitaxon:141186', 'ncbitaxon:1812841', 'ncbitaxon:162018', 'ncbitaxon:376207', 'ncbitaxon:13129', 'ncbitaxon:931241', 'ncbitaxon:312560', 'ncbitaxon:1217220', 'ncbitaxon:135798', 'ncbitaxon:126635', 'ncbitaxon:122810', 'ncbitaxon:122813', 'ncbitaxon:1903424', 'ncbitaxon:1620146', 'ncbitaxon:1659830', 'ncbitaxon:35942', 'ncbitaxon:312572', 'ncbitaxon:141191', 'ncbitaxon:312921', 'ncbitaxon:1217210', 'ncbitaxon:122812', 'ncbitaxon:236976', 'ncbitaxon:162022', 'ncbitaxon:312938']
