fam_name	# chemicals	# level specific chemicals	# med plants
Actinidiaceae	0.8942	0.0873	0.0185
Marcgraviaceae	1.0	0.0	0.0
Nyctaginaceae	0.7915	0.1922	0.0163
Lepicoleaceae	0.7778	0.2222	0.0
Musaceae	0.8175	0.1715	0.0109
Philydraceae	0.9	0.1	0.0
Degeneriaceae	0.8	0.2	0.0
Drosophyllaceae	1.0	0.0	0.0
Dendrocerotaceae	0.6667	0.3333	0.0
Caryophyllaceae	0.7373	0.2433	0.0194
Araucariaceae	0.8432	0.1405	0.0162
Pittosporaceae	0.8898	0.102	0.0082
Nephroselmidaceae	1.0	0.0	0.0
Taccaceae	0.5845	0.401	0.0145
Blechnaceae	0.8867	0.1	0.0133
Calycanthaceae	0.7705	0.2049	0.0246
Splachnaceae	1.0	0.0	0.0
Nartheciaceae	0.9211	0.0526	0.0263
Solenostomataceae	0.8741	0.1259	0.0
Rhizogoniaceae	1.0	0.0	0.0
Columelliaceae	0.9167	0.0833	0.0
Anthocerotaceae	0.7027	0.2973	0.0
Monocleaceae	0.85	0.15	0.0
Osmundaceae	0.8235	0.0588	0.1176
Caprifoliaceae	0.7987	0.1895	0.0118
Hamamelidaceae	0.9143	0.0686	0.0171
Rhachidosoraceae	0.6316	0.3684	0.0
Neotrichocoleaceae	1.0	0.0	0.0
Balanopaceae	1.0	0.0	0.0
Cornaceae	0.7578	0.2195	0.0226
Eupomatiaceae	1.0	0.0	0.0
Bonnetiaceae	0.9474	0.0526	0.0
Hyacinthaceae	0.7738	0.2155	0.0108
Santalaceae	0.7251	0.2689	0.006
Combretaceae	0.7876	0.1959	0.0166
Lecythidaceae	0.7186	0.2335	0.0479
Amaryllidaceae	0.7848	0.2025	0.0126
Dunaliellaceae	0.9259	0.0494	0.0247
Commelinaceae	0.9238	0.0476	0.0286
Dicksoniaceae	0.9412	0.0441	0.0147
Montiaceae	1.0	0.0	0.0
Brassicaceae	0.7627	0.2238	0.0136
Athyriaceae	0.95	0.025	0.025
Pylaisiadelphaceae	1.0	0.0	0.0
Pteridaceae	0.8373	0.1529	0.0098
Xyridaceae	0.9762	0.0238	0.0
Cercidiphyllaceae	0.9375	0.0625	0.0
Lunulariaceae	0.9667	0.0333	0.0
Saccogynaceae	0.625	0.375	0.0
Gisekiaceae	0.6	0.2	0.2
Amaranthaceae	0.7858	0.1754	0.0388
