taxon	Furofuranoid lignans	Dihydroflavonols	Shikimic acids and derivatives	Eudesmane sesquiterpenoids	Stigmastane steroids	Lupane triterpenoids	Chalcones	Cinnamic acids and derivatives	Menthane monoterpenoids	Flavan-3-ols	Oleanane triterpenoids	Flavonols	Ursane and Taraxastane triterpenoids	Gallotannins	Acyclic monoterpenoids	Simple coumarins	Flavanones	Monocyclic monoterpenoids	Flavones	Neolignans
Meliaceae	0.006843455945252352	0.005417735956658112	0.003136583974907328	0.009409751924721984	0.023952095808383235	0.013401767892785858	0.006843455945252352	0.021956087824351298	0.005417735956658112	0.007413743940690049	0.034787567721699456	0.03279155973766752	0.00570287995437696	0.029940119760479042	0.003992015968063872	0.009409751924721984	0.007984031936127744	0.0051325919589392645	0.013401767892785858	0.009694895922440832
Nepenthaceae	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campanulaceae	0.013769363166953529	0.010327022375215147	0.0034423407917383822	0.0017211703958691911	0.03442340791738382	0.010327022375215147	0.01549053356282272	0.027538726333907058	0.013769363166953529	0.0	0.07228915662650602	0.07056798623063683	0.0051635111876075735	0.0051635111876075735	0.013769363166953529	0.008605851979345954	0.008605851979345954	0.0034423407917383822	0.0378657487091222	0.0051635111876075735
Daphniphyllaceae	0.0	0.0	0.00546448087431694	0.0	0.02185792349726776	0.0	0.0	0.00546448087431694	0.0	0.01092896174863388	0.00546448087431694	0.07650273224043716	0.0	0.01092896174863388	0.0	0.0	0.0	0.0	0.02185792349726776	0.01092896174863388
Zygophyllaceae	0.0	0.004032258064516129	0.0	0.0	0.012096774193548387	0.008064516129032258	0.008064516129032258	0.028225806451612902	0.0	0.0	0.08870967741935484	0.3225806451612903	0.028225806451612902	0.0	0.0	0.0	0.004032258064516129	0.0	0.03225806451612903	0.016129032258064516
Eucommiaceae	0.1223021582733813	0.0	0.007194244604316547	0.014388489208633094	0.007194244604316547	0.014388489208633094	0.007194244604316547	0.050359712230215826	0.014388489208633094	0.007194244604316547	0.014388489208633094	0.08633093525179857	0.014388489208633094	0.007194244604316547	0.0	0.0	0.0	0.007194244604316547	0.02158273381294964	0.02877697841726619
Platanaceae	0.0	0.0	0.0	0.0	0.02631578947368421	0.05263157894736842	0.07894736842105263	0.0	0.0	0.05263157894736842	0.0	0.42105263157894735	0.0	0.0	0.0	0.02631578947368421	0.05263157894736842	0.0	0.02631578947368421	0.0
Trochodendraceae	0.05263157894736842	0.0	0.0	0.0	0.10526315789473684	0.10526315789473684	0.0	0.10526315789473684	0.0	0.0	0.21052631578947367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nymphaeaceae	0.0	0.0	0.007692307692307693	0.0	0.007692307692307693	0.0	0.007692307692307693	0.015384615384615385	0.0	0.0	0.0	0.17692307692307693	0.0	0.03076923076923077	0.0	0.0	0.007692307692307693	0.0	0.007692307692307693	0.015384615384615385
Petiveriaceae	0.0	0.0	0.0	0.0	0.01694915254237288	0.0	0.01694915254237288	0.05084745762711865	0.0	0.0	0.0	0.11864406779661017	0.0	0.0	0.0	0.0	0.06779661016949153	0.0	0.01694915254237288	0.0
Nelumbonaceae	0.0	0.00228310502283105	0.0091324200913242	0.00684931506849315	0.0136986301369863	0.00228310502283105	0.00228310502283105	0.01598173515981735	0.01141552511415525	0.0136986301369863	0.00684931506849315	0.0547945205479452	0.0045662100456621	0.01141552511415525	0.0091324200913242	0.0045662100456621	0.0	0.01141552511415525	0.0091324200913242	0.0
Plumbaginaceae	0.0035714285714285713	0.014285714285714285	0.0035714285714285713	0.0035714285714285713	0.010714285714285714	0.010714285714285714	0.0	0.02857142857142857	0.0	0.02142857142857143	0.0035714285714285713	0.18928571428571428	0.0	0.017857142857142856	0.0035714285714285713	0.025	0.007142857142857143	0.0	0.02857142857142857	0.0
Alismataceae	0.0	0.0	0.004694835680751174	0.0	0.009389671361502348	0.004694835680751174	0.009389671361502348	0.018779342723004695	0.004694835680751174	0.004694835680751174	0.004694835680751174	0.07981220657276995	0.004694835680751174	0.004694835680751174	0.004694835680751174	0.004694835680751174	0.009389671361502348	0.004694835680751174	0.028169014084507043	0.0
Araceae	0.01948051948051948	0.0	0.011688311688311689	0.014285714285714285	0.01818181818181818	0.0025974025974025974	0.015584415584415584	0.02987012987012987	0.02077922077922078	0.003896103896103896	0.02207792207792208	0.03766233766233766	0.0	0.005194805194805195	0.012987012987012988	0.0012987012987012987	0.01038961038961039	0.02077922077922078	0.04025974025974026	0.015584415584415584
Poaceae	0.004570603800817898	0.0016839066634592255	0.010103439980755352	0.0038489295164782296	0.01106567235987491	0.002646139042578783	0.0007216742843396681	0.030310319942266056	0.005773394274717345	0.0012027904738994466	0.0048111618955977865	0.017801299013711813	0.0014433485686793362	0.0009622323791195574	0.006976184748616791	0.006254510464277123	0.0014433485686793362	0.007216742843396681	0.03584315612220351	0.0028866971373586723
Hyacinthaceae	0.009009009009009009	0.001287001287001287	0.001287001287001287	0.010296010296010296	0.01673101673101673	0.014157014157014158	0.001287001287001287	0.039897039897039896	0.01287001287001287	0.006435006435006435	0.04247104247104247	0.02059202059202059	0.01673101673101673	0.009009009009009009	0.011583011583011582	0.006435006435006435	0.005148005148005148	0.007722007722007722	0.039897039897039896	0.005148005148005148
Cyperaceae	0.002232142857142857	0.004464285714285714	0.006696428571428571	0.015625	0.006696428571428571	0.004464285714285714	0.024553571428571428	0.020089285714285716	0.013392857142857142	0.013392857142857142	0.020089285714285716	0.09375	0.002232142857142857	0.002232142857142857	0.004464285714285714	0.006696428571428571	0.024553571428571428	0.011160714285714286	0.08035714285714286	0.002232142857142857
Bromeliaceae	0.0	0.0	0.0045045045045045045	0.0	0.0045045045045045045	0.0	0.0	0.036036036036036036	0.0	0.013513513513513514	0.0	0.06306306306306306	0.0	0.0	0.0045045045045045045	0.0	0.013513513513513514	0.0	0.03153153153153153	0.0
Marantaceae	0.007575757575757576	0.030303030303030304	0.015151515151515152	0.0	0.007575757575757576	0.0	0.03787878787878788	0.030303030303030304	0.045454545454545456	0.015151515151515152	0.0	0.10606060606060606	0.0	0.0	0.007575757575757576	0.0	0.045454545454545456	0.06818181818181818	0.0	0.022727272727272728
Cannaceae	0.0	0.0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0
Costaceae	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0625	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.14583333333333334	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0
Musaceae	0.0	0.0	0.005813953488372093	0.0	0.01744186046511628	0.0	0.0	0.011627906976744186	0.0	0.01744186046511628	0.0	0.0	0.0	0.005813953488372093	0.0	0.0	0.0	0.0	0.0	0.005813953488372093
Zingiberaceae	0.001905280348394121	0.00326619488296135	0.005443658138268917	0.023135547087642896	0.018780620577027764	0.0008165487207403375	0.015242242787152967	0.03320631464344039	0.04491017964071856	0.0024496461622210124	0.001633097441480675	0.03647250952640174	0.0013609145345672292	0.0010887316276537834	0.046815459989112684	0.004899292324442025	0.006260206859009254	0.04790419161676647	0.017419706042460535	0.0065323897659227
